login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
awslabs,awslabs/amazon-kinesis-scaling-utils,2014-10-22T07:32:12Z,338,338,Java,True,False,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-ice,2024-04-24T13:28:44Z,3,3,C,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-pic,2020-01-16T20:33:40Z,49,49,C++,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-producer-c,2020-01-16T20:33:04Z,55,55,C,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-producer-sdk-cpp,2017-11-16T18:46:09Z,377,377,C++,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-producer-sdk-java,2017-11-20T08:18:44Z,78,78,Java,True,False,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-rtcp,2024-07-10T08:54:01Z,1,1,C,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-rtp,2024-04-24T11:04:56Z,1,1,C,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-sdp,2023-12-21T10:13:07Z,1,1,C,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-signaling,2024-03-08T03:29:43Z,1,1,C,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-stun,2024-02-12T17:23:47Z,4,4,C,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-webrtc-sdk-android,2019-11-08T20:48:39Z,59,59,Java,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,2019-08-27T20:16:16Z,1034,1034,C,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-webrtc-sdk-ios,2019-11-08T22:23:36Z,65,65,Swift,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-video-streams-webrtc-sdk-js,2019-09-14T00:49:34Z,287,287,TypeScript,True,True,apache-2.0
awslabs,awslabs/amazon-linux-instance-finder,2023-12-14T19:27:53Z,2,2,TypeScript,True,False,mit-0
awslabs,awslabs/amazon-log-agent-benchmark-tool,2020-05-05T06:18:32Z,20,20,Go,True,True,mit-0
awslabs,awslabs/amazon-lookout-for-vision-python-sdk,2021-02-25T18:52:55Z,7,7,Python,True,True,apache-2.0
awslabs,awslabs/amazon-managed-blockchain-client-templates,2019-02-07T21:21:27Z,45,45,,True,False,mit-0
awslabs,awslabs/amazon-msk-config-detector,2023-05-04T13:36:38Z,13,13,Python,True,True,apache-2.0
awslabs,awslabs/amazon-msk-data-generator,2021-08-24T20:10:22Z,13,13,Java,True,True,epl-2.0
awslabs,awslabs/amazon-neptune-tools,2018-02-14T05:13:35Z,297,297,Java,True,False,apache-2.0
awslabs,awslabs/amazon-omics-tools,2022-11-02T21:50:54Z,19,19,Python,True,True,apache-2.0
awslabs,awslabs/amazon-personalize-optimizer-using-amazon-pinpoint-events,2020-02-19T01:08:04Z,10,10,JavaScript,True,True,apache-2.0
awslabs,awslabs/amazon-pinpoint-preference-center,2020-11-10T00:04:16Z,12,12,JavaScript,True,True,apache-2.0
awslabs,awslabs/amazon-qldb-driver-dotnet,2020-01-24T00:47:08Z,9,9,C#,True,True,apache-2.0
awslabs,awslabs/amazon-qldb-driver-go,2020-02-12T19:44:18Z,22,22,Go,True,True,apache-2.0
awslabs,awslabs/amazon-qldb-driver-java,2019-10-16T00:35:29Z,13,13,Java,True,True,apache-2.0
awslabs,awslabs/amazon-qldb-driver-js,2021-06-28T19:36:13Z,2,2,TypeScript,True,True,apache-2.0
awslabs,awslabs/amazon-qldb-driver-nodejs,2019-10-15T22:36:04Z,53,53,TypeScript,True,True,apache-2.0
awslabs,awslabs/amazon-qldb-driver-python,2019-10-15T22:25:43Z,42,42,Python,True,True,apache-2.0
awslabs,awslabs/amazon-qldb-driver-rust,2020-10-05T05:15:11Z,15,15,Rust,True,True,apache-2.0
awslabs,awslabs/amazon-qldb-export-processor-java,2022-03-30T21:38:04Z,4,4,Java,True,False,mit-0
awslabs,awslabs/amazon-qldb-ledger-load-java,2022-03-30T21:32:19Z,7,7,Java,True,False,mit-0
awslabs,awslabs/amazon-qldb-shell,2020-02-06T07:51:34Z,25,25,Rust,True,True,apache-2.0
awslabs,awslabs/amazon-quicksight-embedding-sdk,2018-11-05T22:33:26Z,169,169,TypeScript,True,False,apache-2.0
awslabs,awslabs/amazon-redshift-json-schema-induction,2020-01-27T22:56:33Z,19,19,Jupyter Notebook,True,True,apache-2.0
awslabs,awslabs/amazon-redshift-monitoring,2016-04-04T17:53:08Z,268,268,Python,True,False,apache-2.0
awslabs,awslabs/amazon-redshift-utils,2014-12-09T09:29:49Z,2763,2763,Python,True,False,apache-2.0
awslabs,awslabs/amazon-s3-data-replication-hub-plugin,2020-11-05T19:01:17Z,47,47,TypeScript,True,True,apache-2.0
awslabs,awslabs/amazon-s3-find-and-forget,2020-02-07T00:07:08Z,238,238,Python,False,False,apache-2.0
awslabs,awslabs/amazon-s3-step-functions-ingestion-orchestration,2019-07-03T18:55:15Z,28,28,Python,True,False,apache-2.0
awslabs,awslabs/amazon-s3-tagging-spark-util,2020-11-19T18:34:50Z,10,10,Scala,True,True,apache-2.0
awslabs,awslabs/amazon-s3-tar-tool,2023-03-06T19:29:49Z,171,171,Go,True,True,apache-2.0
awslabs,awslabs/amazon-sagemaker-financial-product-recommender-with-graph-ml,2023-03-17T17:57:10Z,5,5,Jupyter Notebook,True,True,mit-0
awslabs,awslabs/amazon-sagemaker-inference-client,2020-10-15T03:24:12Z,19,19,JavaScript,True,True,mit-0
awslabs,awslabs/amazon-sagemaker-mlops-workshop,2019-02-28T20:35:02Z,325,325,Jupyter Notebook,True,False,mit-0
TheLarkInn,TheLarkInn/acts-as-taggable-on,2014-06-10T20:37:31Z,0,0,Ruby,True,True,mit
TheLarkInn,TheLarkInn/address-UI,2015-09-05T17:34:56Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/AdmiralBulldogLive,2022-03-11T14:12:11Z,0,0,,True,True,
TheLarkInn,TheLarkInn/alias-game-night,2023-03-21T19:16:54Z,0,0,,True,True,
TheLarkInn,TheLarkInn/ama,2016-06-15T03:21:52Z,18,18,,True,False,
TheLarkInn,TheLarkInn/AnalyticsWebpackPlugin,2016-09-22T04:29:46Z,5,5,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/angular,2015-01-19T18:05:34Z,0,0,TypeScript,True,True,mit
TheLarkInn,TheLarkInn/angular-cli,2016-04-15T14:01:10Z,3,3,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/angular-compiler-plugin,2016-05-12T13:21:13Z,1,1,TypeScript,True,True,
TheLarkInn,TheLarkInn/angular-pipes,2016-05-02T18:25:43Z,2,2,TypeScript,True,True,mit
TheLarkInn,TheLarkInn/angular-starter-es6-webpack,2015-11-02T19:12:18Z,106,106,JavaScript,True,True,
TheLarkInn,TheLarkInn/angular-styleguide,2015-05-27T14:26:15Z,1,1,,True,False,mit
TheLarkInn,TheLarkInn/angular-testing-quick-start,2016-04-01T00:35:14Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/angular-webpack-slides-ngconf-2016,2016-04-12T18:00:13Z,1,1,JavaScript,True,True,
TheLarkInn,TheLarkInn/angular.io,2016-05-13T03:25:32Z,0,0,HTML,True,True,mit
TheLarkInn,TheLarkInn/angular.js,2015-01-19T18:07:27Z,0,0,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/angular2-electron,2016-03-31T02:38:09Z,0,0,TypeScript,True,True,mit
TheLarkInn,TheLarkInn/angular2-electron-playground,2016-03-31T02:36:11Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/angular2-iot,2016-04-16T16:56:31Z,0,0,TypeScript,True,True,
TheLarkInn,TheLarkInn/angular2-multievent-bindings-plugin,2016-04-24T17:20:07Z,7,7,TypeScript,True,True,
TheLarkInn,TheLarkInn/angular2-seed,2016-04-04T18:10:09Z,0,0,TypeScript,True,True,mit
TheLarkInn,TheLarkInn/angular2-seed-1,2016-04-20T22:04:14Z,0,0,TypeScript,True,True,mit
